No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,必須スキル
1,1,AI実装・運用,AIエージェント,導入設計,★★★,業務タスクを分析し、エージェントを活用すべき領域と、通常のLLM利用や既存ワークフローで十分な領域を区別して判断できる,◯
2,2,AI実装・運用,AIエージェント,導入設計,★★★,複雑な業務や課題をエージェントが処理可能な単位に分解し、役割やワークフローを設計できる（タスク分割やゴール設定、ワークフロー定義など）,◯
3,3,AI実装・運用,AIエージェント,アーキテクチャ設計,★★,AIエージェントの主要な型（Plan-and-Execute、Plan-and-Act、ReAct、Reflexなど）の特徴を理解し、タスク特性に応じて適切な型を選択できる,◯
4,4,AI実装・運用,AIエージェント,アーキテクチャ設計,★★★,AIエージェントを実現するための主要な技術要素を体系的に理解し、処理の構成を設計できる（基盤モデル、思考プロセス、ツール利用、メモリ/ナレッジ管理など）,◯
5,5,AI実装・運用,AIエージェント,アーキテクチャ設計,★★★,業務要件に応じてオーケストレーション型/A2A型などを適切に選択し、協調・競合・合意形成を考慮した設計ができる,
6,6,AI実装・運用,AIエージェント,知識接続,★★,自社の新機能やAIエージェント開発において、生成AIや他システムが提供するAPI、プラグインなどの機能を用いたシステム連携を設計・実装できる,◯
7,7,AI実装・運用,AIエージェント,知識接続,★★,AIエージェントの開発において、MCP（Model Context Protocol）や A2A（Agent 2 Agent）などの主要なプロトコルを理解し、生成AI連携機能を安全性も配慮しながら設計・構築できる,◯
8,8,AI実装・運用,AIエージェント,知識接続,★★,LLM単体の制約やハルシネーション抑制などの理由からRAG（Retrieval-Augmented Generation）の必要性を理解し、シンプルRAG・階層型RAG・エージェントRAGなどの特徴を踏まえてタスク特性に応じた構築方針を判断できる,◯
9,9,AI実装・運用,AIエージェント,知識接続,★★★,検索手法（BM25、dense、hybridなど）の違いを理解し、最適設計と閾値調整により再現率と適合率のバランスを取ることができる,◯
10,10,AI実装・運用,AIエージェント,知識接続,★★★,埋め込みモデルの選定と、類似度検索の精度に関する定量評価、性能劣化時における検索性能の改善（埋込みの再作成や次元調整など）ができる,◯
11,11,AI実装・運用,AIエージェント,メモリと状態管理,★★,エージェントの状態管理モデル（クラス）を適切に設計し、LLMからの出力結果や処理の実行状況を構造化できる,◯
