No,SubNo,フェーズ,スキルカテゴリ,サブカテゴリ,スキル定義,★（見習い）,★★（一人前）,★★★（棟梁）,★ 必須,★★ 必須,★★★ 必須,DS,DE
1,1,構想・探索 （Visioning）,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,技術・社会潮流の洞察,世界や社会の変化を流行ではなく構造として読み解き、技術革新がもたらす転換点を先読みする力。過去のパターンを超えて未来の意味構造を描き、組織や産業の方向性に新たな文脈を与える,主要な技術・社会トレンドを理解し、基本的な因果関係を説明できる,技術・文化・制度変化の交差点を見抜き、変化の本質を言語化できる,新たな時代の兆しを物語として構築し、社会や産業の方向性を先導できる,◯,,,＊,＊
2,2,構想・探索 （Visioning）,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,構造的因果の理解,技術・文化・環境・制度など複数要因の連関を捉え、変化の背後にある因果構造を見抜く力。個別トレンドを越えて、社会・産業システム全体の変化モデルを構築する,単一領域での因果関係の仮説を整理し、説明できる,複数の要因を関連づけて因果構造を分析できる,産業や社会システム全体の因果モデルを設計し、方向性を提言できる,◯,◯,,,
3,3,構想・探索 （Visioning）,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,変化のストーリー化,技術・社会・文化の変化を、継続と断絶のストーリーとして再構成し、組織が自身の未来像を理解できる共通言語に変換する力。個別の事象や変化を超えて“なぜそれが今起きているか”を語ることで、未来の洞察を共有知にする,変化の出来事を整理し、概要を説明できる,変化の連続性と転換点を明確に区別して語れる,未来のストーリーを構築し、組織の方向性を形成できる,◯,,,,
4,1,構想・探索 （Visioning）,課題の再定義 （Problem Redefinition）,未充足ニーズの洞察,表層的な課題の背後にある未充足ニーズを洞察し、価値創造の焦点を見立てる力。既存のビジネス構造や常識を超えて、社会や組織にとっての本質的課題を再設定する,顕在化した課題を整理し、既存の枠組みで説明できる,潜在ニーズや構造的問題を特定し、新たな課題を設定できる,社会的・文化的文脈を含めた本質課題を再定義し、新しい焦点を提示できる,◯,◯,,,
5,2,構想・探索 （Visioning）,課題の再定義 （Problem Redefinition）,構造転換,既存の課題構造や慣習的前提を可視化し、それを再構成することで新しい問題解決の道筋をつくる力。変化に適応するだけでなく、問題の枠組みそのものを転換する,現状の課題構造を整理し、説明できる,背後の構造的要因を可視化し、問題を再構成するための方向性を示せる,問題の枠組みそのものを転換し、新しい意味づけを創出できる,◯,◯,,,
6,3,構想・探索 （Visioning）,課題の再定義 （Problem Redefinition）,新視点の提示,従来の問題設定を超え、異なる領域や視座を組み合わせて新しい問いを提示する力。組織の思考の枠を揺さぶり、変化のための新しい観点を導入する,他分野や他視点を取り入れて新しい切り口を提示できる,新しい切り口を組織に適応し得る形で提示できる,社会・産業レベルで新しい問題意識を喚起し、変革を先導できる,,,,,
7,1,構想・探索 （Visioning）,意味構造設計 （Value & Meaning Design）,意味翻訳・統合,異なる専門・文化・世代間で共有されていない意味のズレを翻訳し、共通理解を生み出す力。対話を通じて多様な立場をつなぎ、組織や社会に新しい意味構造を構築する,異なる立場の視点や言葉の意図の違いを理解できる,関係者の理解を統合するための共通言語や意味合いを設計できる,複数の組織や文化・専門領域を横断し、新しい意味構造を形成できる,,,◯,,
8,2,構想・探索 （Visioning）,意味構造設計 （Value & Meaning Design）,戦略的価値設計,技術・社会・産業のダイナミクスを踏まえ、価値創造の方向性を構造的に設計する力。個々のプロジェクトを越えて、長期的な価値体系を描き出す,現行の価値や方向性を整理し、説明できる,新しい価値構造や方針を設計できる,社会・産業全体を見据えた価値戦略を描ける,,,◯,,
9,1,構想・探索 （Visioning）,社会インパクト設計 （Impact Scenario Design）,シナリオ設計,社会・技術・経済の不確実な変化を前提に、複数の未来シナリオを構築する力。リスクと機会を並行して見立て、柔軟な戦略的オプションを設計する,変化要素を整理し、基本的なシナリオを描ける,複数のシナリオを設計し、リスクと機会を定義できる,社会的インパクトを踏まえた統合的な未来シナリオを提示できる,,,◯,,
10,2,構想・探索 （Visioning）,社会インパクト設計 （Impact Scenario Design）,社会・経済インパクト評価,経済的価値だけでなく、環境・文化・社会的価値を統合的に事前評価し、方向性を設計する力。持続可能性と利益創出を両立するための新しい指標系を生み出す,経済的成果を評価できる,社会・環境価値を含む複合的評価を行える,統合的なインパクト指標を設計し、戦略に反映できる,,,◯,,
11,1,設計 （Design）,事業・モデル設計 （Business Design）,ビジネスアーキテクチャ設計,技術と社会ニーズを結び直し、新しい価値連鎖と収益構造を設計する力。仮説→検証→再設計のループで事業性・実現性・持続可能性を統合し、戦略と実装を橋渡しする,既存事業の構造を説明できる,新しい価値連鎖と収益構造を設計できる,市場・組織を横断した事業アーキテクチャを再設計し先導できる,◯,◯,,,
12,2,設計 （Design）,事業・モデル設計 （Business Design）,価値ストーリー設計,抽象的な構想を、関係者が理解し動けるストーリーとして再構成する力。顧客・現場・経営を同じ地図に乗せ、意思決定と資源配分を駆動するコミュニケーション設計を行う,価値提案を要約して伝えられる,意思決定に資するストーリーと可視化を設計できる,複数ステークホルダーを巻き込み変革のストーリーを主導できる,◯,◯,,,
13,3,設計 （Design）,事業・モデル設計 （Business Design）,価値検証デザイン,“解けなかった問題”をAI・データで再挑戦する検証設計力。MVP（Minimum Viable Product）やPoCで事業性を早期に見極め、指標・リスク・学習計画を組み込んだ検証から拡張の道筋を描く,PoCを計画できる,MVP/PoCで事業性・実現性の要点を検証できる,検証結果から事業拡張戦略、資金計画に落とし込み、全体を主導できる,,◯,,,
